Model,R2_Score,RMSE
Linear,0.6726544289185584,5083.500329331827
Ridge,0.8308386010968059,3654.3509693303768
Lasso,0.710663837783075,4779.263544866819
ElasticNet,0.8303161542872435,3659.9897621289138
